#,TMo,TS,Flow,s,Coverage,Average size,Edge length,Nucleation density,Nucleation rate
1,821.66,232.17,160,0.2,1.40E-01,3.03E+02,3.88E-02,4.61E-04,1.28E-05
2,762.53,160.55,170,0.1,1.57E-01,7.56E+02,2.89E-02,1.93E-04,1.12E-06
3,788.67,151.68,160,0.1,2.73E-01,3.72E+02,4.58E-02,7.17E-04,5.35E-06
4,817.93,199.40,170,0.1,1.98E-01,3.33E+02,4.57E-02,5.91E-04,6.50E-06
5,833.75,157.19,140,0.2,1.20E-01,5.87E+02,2.14E-02,2.01E-04,8.41E-07
6,758.14,209.04,170,0.1,1.62E-01,4.44E+02,3.81E-02,3.61E-04,1.39E-06
7,825.09,157.37,200,0.13,1.95E-01,1.29E+03,2.61E-02,1.29E-04,6.49E-07
8,805.04,227.34,170,0.2,1.25E-01,2.93E+02,3.41E-02,4.26E-04,2.46E-06
9,742.24,119.90,170,0.2,3.79E-01,1.34E+03,3.58E-02,2.27E-04,1.21E-06
10,797.62,152.89,190,0.2,9.12E-03,8.83E+01,4.02E-03,1.03E-04,8.14E-07
11,824.35,130.28,200,0.037,1.64E-01,6.52E+02,3.48E-02,2.79E-04,8.05E-07
12,814.05,157.44,190,0.05,1.27E-01,9.92E+02,2.10E-02,1.28E-04,1.11E-06
13,801.11,202.43,160,0.2,1.52E-01,7.76E+02,2.42E-02,1.95E-04,3.20E-06
14,762.90,149.35,160,0.2,1.88E-01,5.87E+02,3.96E-02,3.19E-04,4.14E-06
15,812.51,149.06,160,0.2,2.83E-01,7.08E+02,5.34E-02,4.00E-04,1.08E-05
16,827.91,192.24,160,0.2,2.42E-01,7.21E+02,4.33E-02,3.32E-04,1.63E-06
17,711.59,149.43,160,0.2,9.96E-02,1.83E+02,3.47E-02,5.45E-04,7.27E-06
18,699.78,203.93,160,0.2,2.16E-01,3.69E+02,5.42E-02,5.83E-04,3.60E-06
19,749.67,149.71,200,0.2,1.37E-01,1.86E+02,4.79E-02,7.36E-04,4.00E-06
20,800.43,156.59,200,0.2,1.99E-01,4.69E+02,4.31E-02,4.18E-04,2.68E-06
21,851.03,202.56,160,0.2,1.82E-01,8.29E+02,3.03E-02,2.16E-04,1.37E-06
22,852.50,152.19,200,0.2,1.42E-01,6.37E+02,2.56E-02,2.20E-04,1.03E-06
23,801.64,156.44,180,0.067,2.69E-01,1.04E+03,3.64E-02,2.49E-04,4.52E-06
24,870.55,174.50,170,0.0578,1.13E-01,4.44E+02,2.36E-02,2.55E-04,1.87E-06
25,780.34,151.45,170,0.0422,2.39E-01,2.26E+02,6.80E-02,1.05E-03,1.78E-05
26,810.20,158.44,100,0.1049,1.79E-01,1.22E+03,2.33E-02,1.45E-04,4.76E-07
